"키","파일","구울크기","그릴크기","갈래","이름","프롬프트"
"chr_hero_field","assets/sprites/characters/hero_field.png","192x256","48x64","들판 그림","용사","A sword-and-shield hero knight — the player character of this game, an adventurer. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_hero_battle","assets/sprites/characters/hero_battle.png","768x1024","192x256","전투 그림","용사","A sword-and-shield hero knight — the player character of this game, an adventurer. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_admin_field","assets/sprites/characters/admin_field.png","192x256","48x64","들판 그림","운영자","A game master in dark robes — the player character of this game, an adventurer. 3/4 top-down view as seen in a JRPG overworld, the character standing and facing the camera-left, feet touching the very bottom edge of the canvas, head near the top with a small margin. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Whole body in frame, symmetrical readable silhouette, no motion blur. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"chr_admin_battle","assets/sprites/characters/admin_battle.png","768x1024","192x256","전투 그림","운영자","A game master in dark robes — the player character of this game, an adventurer. Side view battle portrait, full body, standing in an idle ready stance and FACING LEFT (the enemy is off-frame to the left). Feet touch the very bottom edge of the canvas, head near the top. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Dramatic but still, no motion lines. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_shopkeeper","assets/sprites/npc/shopkeeper.png","192x256","60x80","마을 사람","상인","A shopkeeper, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_blacksmith","assets/sprites/npc/blacksmith.png","192x256","60x80","마을 사람","대장장이","A blacksmith, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_innkeeper","assets/sprites/npc/innkeeper.png","192x256","60x80","마을 사람","여관주인","An innkeeper, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_villager","assets/sprites/npc/villager.png","192x256","60x80","마을 사람","주민","A townsfolk villager, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_elder","assets/sprites/npc/elder.png","192x256","60x80","마을 사람","촌장","A village elder, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
"npc_gambler","assets/sprites/npc/gambler.png","192x256","60x80","마을 사람","보석 노인","An old gem gambler, one of the townsfolk of a small medieval fantasy town. 3/4 top-down view, full body, standing still and facing the camera, feet at the very bottom edge of the canvas. Subject fully isolated on a pure flat #00FF00 background (nothing else in frame), so the background can be keyed out to transparent. Do not crop any part of the subject. Friendly readable silhouette; the clothing colour is what players recognise them by, so keep one strong signature colour. Flat vector game art, hand-painted storybook look, soft cel shading with two or three tone steps per surface, NO black outlines, NO gradients across the whole image, NO photorealism, NO 3D render, NO pixel art dithering. Warm saturated fantasy palette anchored on: grass #49a34a, deep leaf #3f9642, wood #8b5a2b, dark wood #6b4423, stone #8f97ab, cold stone #b7bfd0, water #7cc4ff, pale sky #cfe4ff, gold #ffd166, pale gold #ffe9a8, ember #c98a5c, arcane #c58cff, shadow #2a0c08. Clean readable silhouette that still reads at 1/4 size. Even ambient light from above, no cast shadow on the ground unless asked."
